Comments	ID	MJD	Energy	2.09848E+22	flux_og_90uncertain	flux_90_uncertain_edited	flux_low	flux_high	flux_err	flux	Lumin	Model	nH	index_1	norm_1	highecut	folding_energy	index_2	norm_2	const_1	const_2	const_3	chi sq/dof	index_1_err	norm_1_err	highecut_err	folding_energy_err	index_2_err	norm_2_err	const_1_err	const_2_err	const_3_err
	P050419600801  	60161	28 keV		(7.674e-09 - 7.728e-09)	7.674e-09,7.728e-09	7.67E-09	7.73E-09	(-2.67999999999999E-11,2.72000000000001E-11)	7.70E-09	4.26E+37	cutoffpl	1.11	1.01933	0.813554	19.4503	NaN	NaN	NaN	1	1.04593	NaN	1271.57/1164	(-0.0135323, 0.0135001)	(-0.0126053, 0.0127642)	(-0.40317, 0.419409)	NaN	NaN	NaN	NaN	(-0.00920067, 0.00930224)	NaN
	P050419600901  	60163	28 keV		(7.390e-09 - 7.444e-09)	7.390e-09,7.444e-09	7.39E-09	7.44E-09	(-2.73999999999993E-11,2.66000000000007E-11)	7.42E-09	4.10E+37	cutoffpl	1.11	1.01205	0.780134	19.0229	NaN	NaN	NaN	1	1.04479	NaN	1226.90/1164	(-0.0138272,0.0137883)	(-0.0121353,0.0122877)	(-0.439453,0.458989)	NaN	NaN	NaN	NaN	(-0.00984626,0.00995442)	NaN
	P050419600902  	60163	28 keV		(7.117e-09 - 7.187e-09)	7.117e-09,7.187e-09	7.12E-09	7.19E-09	(-3.61999999999995E-11,3.38000000000004E-11)	7.15E-09	3.96E+37	cutoffpl	1.11	1.0287	0.755223	20.5744	NaN	NaN	NaN	1	1.06918	NaN	1305.04/1164	(-0.0177644, 0.0177039)	(-0.0152279, 0.0154773)	(-0.634855, 0.673519)	NaN	NaN	NaN	NaN	(-0.0127358, 0.0129191)	NaN
	P050419601001  	60165	26 keV		(6.973e-09 - 7.031e-09)	6.973e-09,7.031e-09	6.97E-09	7.03E-09	(-2.99000000000005E-11,2.80999999999999E-11)	7.00E-09	3.87E+37	cutoffpl	1.11	0.986882	0.711242	18.665	NaN	NaN	NaN	1	1.0536	NaN	1211.36/1129	(-0.0158776, 0.0158239)	(-0.0126467, 0.0128286)	(-0.492495, 0.517677)	NaN	NaN	NaN	NaN	(-0.0111425, 0.0112808)	NaN
	P050419601101  	60166	26 keV		(6.744e-09 - 6.799e-09)	6.744e-09,6.799e-09	6.74E-09	6.80E-09	(-2.80999999999999E-11,2.69000000000004E-11)	6.77E-09	3.75E+37	highecut	1.09	1.17796	0.690927	10.0663	23.3236	NaN	NaN	1	0.962261	NaN	1061.64/1059	(-0.0100949, 0.010094)	(-0.0103235, 0.0104647)	(-0.418429, 0.368735)	(-0.794136, 0.832098)	NaN	NaN	NaN	(-0.01234, 0.0133073)	NaN
cutoffpl+bbodyr for simul	P050419601301  	60168	26 keV		(6.102e-09 - 6.149e-09)	6.102e-09,6.149e-09	6.10E-09	6.15E-09	(-2.41000000000004E-11,0.0000000000229)	6.13E-09	3.39E+37	highecut	1.1	1.1378	0.586774	9.65594	21.2897	NaN	NaN	1	0.962123	NaN	1036.05/1059	(-0.00974713, 0.00974451)	(-0.00851004, 0.00862144)	(-0.431939, 0.36034)	(-0.621335, 0.64612)	NaN	NaN	NaN	(-0.0131626, 0.0149663)	NaN
	P050419601501  	60170.44658	Useless		(5.740e-09 - 5.786e-09)	5.740e-09,5.786e-09	5.74E-09	5.79E-09	(-2.39000000000003E-11,2.20999999999997E-11)	5.76E-09	3.19E+37	highecut	1.1	1.11459	0.531952	9.51658	21.0047	NaN	NaN	1	0.961984	NaN	1109.05/1060	(-0.00985072, 0.00966543)	(-0.00779203, 0.0077341)	(-0.456098, 0.337977)	(-0.535973, 0.575506)	NaN	NaN	NaN	(-0.0124877, 0.0155195)	NaN
	P050419601502  	60170.55443	Useless		(5.564e-09 - 5.606e-09)	5.564e-09,5.606e-09	5.56E-09	5.61E-09	(-2.13999999999999E-11,2.05999999999997E-11)	5.59E-09	3.09E+37	highecut	1.1	1.09501	0.500933	9.75669	20.0848	NaN	NaN	1	0.941661	NaN	1047.74/1059	(-0.00917391, 0.0091813)	(-0.00685028, 0.00693211)	(-0.331276, 0.294632)	(-0.505281, 0.523276)	NaN	NaN	NaN	(-0.0113996, 0.0123324)	NaN
	P050419601602  	60171.41	Useless		(5.276e-09 - 5.332e-09)	5.276e-09,5.332e-09	5.28E-09	5.33E-09	(-2.90999999999994E-11,2.69000000000004E-11)	5.31E-09	2.93E+37	highecut	1.1	1.0921	0.472217	9.68154	19.8226	NaN	NaN	1	0.94898	NaN	1042.90/1059	(-0.013099, 0.0130957)	(-0.00919569, 0.00935151)	(-0.460033, 0.38826)	(-0.626988, 0.656869)	NaN	NaN	NaN	(-0.0153543, 0.0172929)	NaN
	P050419601603  	60171.48	Useless		(5.294e-09 - 5.350e-09)	5.294e-09,5.350e-09	5.29E-09	5.35E-09	(-2.85999999999997E-11,2.74000000000001E-11)	5.32E-09	2.94E+37	highecut	1.1	1.09577	0.476836	9.93739	20.4416	NaN	NaN	1	0.926368	NaN	1078.03/1059	(-0.0129905, 0.0129832)	(-0.00921992, 0.00936059)	(-0.399542, 0.352875)	(-0.667246, 0.701285)	NaN	NaN	NaN	(-0.0139384, 0.0148447)	NaN
	P050419601701  	60173	Useless		(4.663e-09 - 4.846e-09)	4.663e-09,4.846e-09	4.66E-09	4.85E-09	(-9.42999999999996E-11,8.87000000000003E-11)	4.76E-09	2.63E+37	highecut	1.1	1.03522	0.385953	9.73184	17.9204	NaN	NaN	1	0.933066	NaN	477.40/484	(-0.0466889,0.0469128)	(-0.0263415,0.0279662)	(-0.429046,0.391356)	(-0.877029,0.965417)	NaN	NaN	NaN	(-0.0324974,0.0346004)	NaN
	P050419601801  	60174	Useless		(4.264e-09 - 4.305e-09)	4.264e-09,4.305e-09	4.26E-09	4.31E-09	(-2.11999999999999E-11,1.98000000000003E-11)	4.29E-09	2.37E+37	highecut	1.1	0.987613	0.332716	6.79789	17.1962	NaN	NaN	1	1.02456	NaN	1070.84/1059	(-0.0136666, 0.0135453)	(-0.00629583, 0.00636401)	(-0.253343, 0.301105)	(-0.355342, 0.366538)	NaN	NaN	NaN	(-0.0133706, 0.0125301)	NaN
	P050419601902  	60175	Useless		(3.945e-09 - 3.993e-09)	3.945e-09,3.993e-09	3.95E-09	3.99E-09	(-0.0000000000255,2.24999999999999E-11)	3.97E-09	2.20E+37	highecut	1.1	0.959903	0.291642	7.38266	16.4883	NaN	NaN	1	0.995221	NaN	1090.60/1112	(-0.0157401, 0.0162748)	(-0.00641653, 0.00668467)	(-0.381826, 0.588054)	(-0.336405, 0.345188)	NaN	NaN	NaN	(-0.0248609, 0.0181798)	NaN
	P050419601903  	60175	Useless		(4.016e-09 - 4.068e-09)	4.016e-09,4.068e-09	4.02E-09	4.07E-09	(-2.74999999999997E-11,2.44999999999997E-11)	4.04E-09	2.24E+37	highecut	1.1	0.94135	0.292848	6.597	16.3735	NaN	NaN	1	1.01308	NaN	1011.03/1000	(-0.0195224,0.0188888)	(-0.0185396,0.0175427)	(-0.334041,0.368691)	(-0.401509,0.412303)	NaN	NaN	NaN		NaN
	P050419602001  	60176	Useless		(3.795e-09 - 3.835e-09)	3.795e-09,3.835e-09	3.80E-09	3.84E-09	(-2.01999999999996E-11,1.98000000000003E-11)	3.82E-09	2.11E+37	highecut	1.1	0.932818	0.274013	6.40755	16.1256	NaN	NaN	1	1.05013	NaN	987.79/1059	(-0.0143256, 0.0141965)	(-0.0054744, 0.00555564)	(-0.188653, 0.201577)	(-0.366652, 0.383269)	NaN	NaN	NaN	(-0.0125412, 0.0124369)	NaN
	P050419602002  	60176	Useless		(3.826e-09 - 3.862e-09)	3.826e-09,3.862e-09	3.83E-09	3.86E-09	(-1.79000000000001E-11,1.81000000000002E-11)	3.84E-09	2.13E+37	highecut	1.1	0.929376	0.27293	6.65109	15.9081	NaN	NaN	1	1.01973	NaN	1190.24/1129	(-0.0130773,0.0129444)	(-0.00493584,0.0049811)	(-0.21386,0.246699)	(-0.267109,0.273391)	NaN	NaN	NaN	(-0.0116516,0.0111748)	NaN
	P050419602101  	60177	Useless		(3.674e-09 - 3.705e-09)	3.674e-09,3.705e-09	3.67E-09	3.71E-09	(-1.51000000000001E-11,1.58999999999999E-11)	3.69E-09	2.04E+37	highecut	1.1	0.898107	0.25056	6.4852	15.0842	NaN	NaN	1	1.02689	NaN	1002.80/1059	(-0.0119547, 0.0118082)	(-0.00416418, 0.00420781)	(-0.167234, 0.173405)	(-0.243343, 0.250503)	NaN	NaN	NaN	(-0.0098617, 0.00972976)	NaN
	P050419602201  	60179	22 keV		(3.220e-09 - 3.255e-09)	3.220e-09,3.255e-09	3.22E-09	3.26E-09	(-1.78000000000001E-11,1.71999999999999E-11)	3.24E-09	1.79E+37	highecut	1.1	0.896307	0.218821	6.49622	14.9373	NaN	NaN	1	1.03644	NaN	960.13/1059	(-0.0156219, 0.0157587)	(-0.00478341, 0.00491238)	(-0.198006, 0.237481)	(-0.322266, 0.337669)	NaN	NaN	NaN	(-0.0134077, 0.0130338)	NaN
	P050419602202  	60179	22 keV		(3.204e-09 - 3.239e-09)	3.204e-09,3.239e-09	3.20E-09	3.24E-09	(-1.84999999999999E-11,1.65000000000001E-11)	3.22E-09	1.78E+37	highecut	1.1	0.872759	0.2116	6.22709	14.8135	NaN	NaN	1	1.02442	NaN	977.46/1059	(-0.0203044,0.0191937)	(-0.00577308,0.00570057)	(-0.265016,0.263876)	(-0.379072,0.387138)	NaN	NaN	NaN	(-0.0130403,0.013013)	NaN
